Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_10.txt,4.45879,295,261
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_1.txt,3.71988,318,287
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_2.txt,3.19805,322,294
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_3.txt,4.20028,323,292
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_4.txt,4.22478,328,292
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_5.txt,2.56769,316,297
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_6.txt,3.67945,332,292
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_7.txt,5.4145,326,296
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_8.txt,3.0133,327,303
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_9.txt,2.91025,321,297
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_10.txt,3.60072,320,290
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_1.txt,4.24823,274,231
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_2.txt,4.26113,260,235
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_3.txt,6.03967,262,222
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_4.txt,3.7678,262,225
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_5.txt,6.75906,265,220
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_6.txt,7.47929,261,211
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_7.txt,7.69996,274,223
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_8.txt,6.74173,271,217
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_9.txt,5.03351,266,230
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_10.txt,6.32212,276,232
adapted_instanceLarge312_m=5_n=50_l=40_c=30_s=2_1.txt,2.06127,268,244
