Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instance1022_m=3_n=25_l=15_c=10_s=1_5.txt,0.085106,61,54
adapted_instance1022_m=3_n=25_l=15_c=10_s=1_6.txt,0.048997,59,54
adapted_instance1022_m=3_n=25_l=15_c=10_s=1_7.txt,0.204273,61,54
adapted_instance1022_m=3_n=25_l=15_c=10_s=1_8.txt,0.063484,58,54
adapted_instance1022_m=3_n=25_l=15_c=10_s=1_9.txt,0.078726,60,54
adapted_instance1022_m=3_n=25_l=15_c=10_s=1_10.txt,0.089644,56,54
adapted_instance1024_m=3_n=25_l=15_c=10_s=0_1.txt,0.053951,61,53
adapted_instance1024_m=3_n=25_l=15_c=10_s=0_2.txt,0.049189,59,55
adapted_instance1024_m=3_n=25_l=15_c=10_s=0_3.txt,0.140038,61,56
adapted_instance1024_m=3_n=25_l=15_c=10_s=0_4.txt,0.078015,59,55
adapted_instance1024_m=3_n=25_l=15_c=10_s=0_5.txt,0.05407,60,56
adapted_instance1024_m=3_n=25_l=15_c=10_s=0_6.txt,0.061077,61,55
adapted_instance1024_m=3_n=25_l=15_c=10_s=0_7.txt,0.311896,61,54
adapted_instance1024_m=3_n=25_l=15_c=10_s=0_8.txt,0.051513,62,54
adapted_instance1024_m=3_n=25_l=15_c=10_s=0_9.txt,0.072392,59,57
adapted_instance1024_m=3_n=25_l=15_c=10_s=0_10.txt,0.13772,59,55
adapted_instance1026_m=3_n=25_l=15_c=10_s=2_1.txt,0.065318,55,50
adapted_instance1026_m=3_n=25_l=15_c=10_s=2_2.txt,0.058447,53,51
adapted_instance1026_m=3_n=25_l=15_c=10_s=2_3.txt,0.065208,59,50
adapted_instance1026_m=3_n=25_l=15_c=10_s=2_4.txt,0.108746,57,49
adapted_instance1026_m=3_n=25_l=15_c=10_s=2_5.txt,0.107239,54,50
adapted_instance1026_m=3_n=25_l=15_c=10_s=2_6.txt,0.068923,56,50
adapted_instance1026_m=3_n=25_l=15_c=10_s=2_7.txt,0.221978,55,50
adapted_instance1026_m=3_n=25_l=15_c=10_s=2_8.txt,0.080327,59,51
adapted_instance1026_m=3_n=25_l=15_c=10_s=2_9.txt,0.09778,60,50
adapted_instance1026_m=3_n=25_l=15_c=10_s=2_10.txt,0.075285,56,50
adapted_instance1028_m=3_n=25_l=15_c=10_s=1_1.txt,0.058005,58,56
adapted_instance1028_m=3_n=25_l=15_c=10_s=1_2.txt,0.100243,58,55
adapted_instance1028_m=3_n=25_l=15_c=10_s=1_3.txt,0.115672,59,57
adapted_instance1028_m=3_n=25_l=15_c=10_s=1_4.txt,0.085517,61,56
adapted_instance1028_m=3_n=25_l=15_c=10_s=1_5.txt,0.067014,60,55
adapted_instance1028_m=3_n=25_l=15_c=10_s=1_6.txt,0.304814,59,55
adapted_instance1028_m=3_n=25_l=15_c=10_s=1_7.txt,0.060199,64,56
adapted_instance1028_m=3_n=25_l=15_c=10_s=1_8.txt,0.300199,64,54
adapted_instance1028_m=3_n=25_l=15_c=10_s=1_9.txt,0.11144,62,56
adapted_instance1028_m=3_n=25_l=15_c=10_s=1_10.txt,0.056893,65,56
adapted_instance1030_m=3_n=25_l=15_c=10_s=0_1.txt,0.070787,58,52
adapted_instance1030_m=3_n=25_l=15_c=10_s=0_2.txt,0.065994,60,52
adapted_instance1030_m=3_n=25_l=15_c=10_s=0_3.txt,0.069516,59,54
adapted_instance1030_m=3_n=25_l=15_c=10_s=0_4.txt,0.330289,60,52
adapted_instance1030_m=3_n=25_l=15_c=10_s=0_5.txt,0.057896,61,55
adapted_instance1030_m=3_n=25_l=15_c=10_s=0_6.txt,0.07841,59,53
adapted_instance1030_m=3_n=25_l=15_c=10_s=0_7.txt,0.070058,60,53
adapted_instance1030_m=3_n=25_l=15_c=10_s=0_8.txt,0.058522,61,55
adapted_instance1030_m=3_n=25_l=15_c=10_s=0_9.txt,0.067902,59,54
adapted_instance1030_m=3_n=25_l=15_c=10_s=0_10.txt,0.190208,63,53
adapted_instance1032_m=3_n=25_l=15_c=10_s=2_1.txt,0.174633,54,50
adapted_instance1032_m=3_n=25_l=15_c=10_s=2_2.txt,0.109297,57,50
