Instance_Name,Execution_Time,Initial_Solution,Final_Solution
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_5.txt,6.38266,296,261
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_6.txt,7.36884,300,261
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_7.txt,7.11231,300,264
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_8.txt,5.67028,293,265
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_9.txt,6.07814,299,261
adapted_instanceLarge280_m=5_n=50_l=30_c=20_s=0_10.txt,11.2543,298,257
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_1.txt,5.60012,323,290
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_2.txt,6.65149,324,294
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_3.txt,8.16318,319,291
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_4.txt,6.8958,321,285
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_5.txt,5.54004,320,290
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_6.txt,7.92199,327,287
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_7.txt,6.84591,330,289
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_8.txt,4.72664,330,285
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_9.txt,5.00424,311,286
adapted_instanceLarge294_m=5_n=50_l=30_c=20_s=2_10.txt,4.98247,328,290
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_1.txt,9.53759,268,215
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_2.txt,8.5737,263,214
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_3.txt,10.4579,269,215
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_4.txt,10.7089,258,212
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_5.txt,10.6807,269,211
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_6.txt,10.9558,269,220
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_7.txt,11.2152,276,221
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_8.txt,10.9346,270,218
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_9.txt,8.46263,262,216
adapted_instanceLarge2_m=3_n=50_l=30_c=10_s=1_10.txt,13.0352,264,220
adapted_instanceLarge312_m=5_n=50_l=40_c=30_s=2_1.txt,7.54237,273,243
adapted_instanceLarge312_m=5_n=50_l=40_c=30_s=2_2.txt,5.26909,265,243
adapted_instanceLarge312_m=5_n=50_l=40_c=30_s=2_3.txt,7.11402,275,240
adapted_instanceLarge312_m=5_n=50_l=40_c=30_s=2_4.txt,6.2318,269,246
adapted_instanceLarge312_m=5_n=50_l=40_c=30_s=2_5.txt,7.16784,271,240
adapted_instanceLarge312_m=5_n=50_l=40_c=30_s=2_6.txt,6.58648,268,242
adapted_instanceLarge312_m=5_n=50_l=40_c=30_s=2_7.txt,5.7912,268,239
adapted_instanceLarge312_m=5_n=50_l=40_c=30_s=2_8.txt,2.44966,277,252
adapted_instanceLarge312_m=5_n=50_l=40_c=30_s=2_9.txt,5.08493,270,244
adapted_instanceLarge312_m=5_n=50_l=40_c=30_s=2_10.txt,4.15298,270,243
adapted_instanceLarge318_m=5_n=50_l=40_c=30_s=2_1.txt,3.92418,260,229
adapted_instanceLarge318_m=5_n=50_l=40_c=30_s=2_2.txt,3.98879,260,229
adapted_instanceLarge318_m=5_n=50_l=40_c=30_s=2_3.txt,3.55585,259,232
adapted_instanceLarge318_m=5_n=50_l=40_c=30_s=2_4.txt,4.97972,251,225
adapted_instanceLarge318_m=5_n=50_l=40_c=30_s=2_5.txt,5.43487,262,225
adapted_instanceLarge318_m=5_n=50_l=40_c=30_s=2_6.txt,5.3362,253,227
adapted_instanceLarge318_m=5_n=50_l=40_c=30_s=2_7.txt,6.00309,251,221
adapted_instanceLarge318_m=5_n=50_l=40_c=30_s=2_8.txt,4.64713,257,225
adapted_instanceLarge318_m=5_n=50_l=40_c=30_s=2_9.txt,5.52072,255,225
adapted_instanceLarge318_m=5_n=50_l=40_c=30_s=2_10.txt,4.26051,255,223
adapted_instanceLarge348_m=5_n=50_l=40_c=30_s=2_1.txt,8.04153,636,574
adapted_instanceLarge348_m=5_n=50_l=40_c=30_s=2_2.txt,9.64166,628,574
adapted_instanceLarge348_m=5_n=50_l=40_c=30_s=2_3.txt,10.3038,632,573
adapted_instanceLarge348_m=5_n=50_l=40_c=30_s=2_4.txt,9.6456,642,572
adapted_instanceLarge348_m=5_n=50_l=40_c=30_s=2_5.txt,11.7332,648,569
adapted_instanceLarge348_m=5_n=50_l=40_c=30_s=2_6.txt,8.66631,661,577
adapted_instanceLarge348_m=5_n=50_l=40_c=30_s=2_7.txt,8.52299,650,568
adapted_instanceLarge348_m=5_n=50_l=40_c=30_s=2_8.txt,17.8627,633,572
adapted_instanceLarge348_m=5_n=50_l=40_c=30_s=2_9.txt,10.0435,639,581
adapted_instanceLarge348_m=5_n=50_l=40_c=30_s=2_10.txt,11.0198,637,574
adapted_instanceLarge46_m=3_n=50_l=30_c=20_s=0_1.txt,4.88039,306,268
adapted_instanceLarge46_m=3_n=50_l=30_c=20_s=0_2.txt,7.0744,301,262
